Date,"A001, Bicentennial Bikeway, Auchenflower  _Pedestrian","A001, Bicentennial Bikeway, Auchenflower  _Cyclist","A019, Bicentennial Bikeway, Milton  _Pedestrian","A019, Bicentennial Bikeway, Milton  _Cyclist","A002, Bishop Street, Kelvin Grove  _Pedestrian","A002, Bishop Street, Kelvin Grove  _Cyclist","A023, Botanic Gardens, City  _Pedestrian","A023, Botanic Gardens, City  _Cyclist","A003, Ekibin Park, Greenslopes  _Pedestrian","A003, Ekibin Park, Greenslopes  _Cyclist","A004, Eleanor Schonell Br Cyclists, St Lucia  _Cyclist","A004, Eleanor Schonell Br Pedestrians, St Lucia  _Pedestrian","A005, Go Between Br Cyclists, South Brisbane   _Cyclist","A005, Go Between Br Pedestrians, South Brisbane  _Pedestrian","A006, Granville St Bridge, Herston  _Pedestrian","A006, Granville St Bridge, Herston  _Cyclist","A020, Gympie Rd (Marchant Park), Chermside  _Pedestrian","A020, Gympie Rd (Marchant Park), Chermside  _Cyclist","A007, Jack Pesch Bridge, Indooroopilly_Pedestrian","A007, Jack Pesch Bridge, Indooroopilly_Cyclist","A008, Kangaroo Point Bikeway, Kangaroo Point  _Pedestrian","A008, Kangaroo Point Bikeway, Kangaroo Point  _Cyclist","A009, Kedron Brook Bikeway, Lutwyche  _Pedestrian","A009, Kedron Brook Bikeway, Lutwyche  _Cyclist","A010, Kedron Brook Bikeway, Mitchelton  _Pedestrian","A010, Kedron Brook Bikeway, Mitchelton  _Cyclist","A011, Lambert Rd, Indooroopilly  _Cyclist","A021, Lores Bonney Riverwalk, Hamilton  _Pedestrian","A021, Lores Bonney Riverwalk, Hamilton  _Cyclist","A018, Macquarie Street, St Lucia  _Pedestrian","A018, Macquarie Street, St Lucia  _Cyclist","A017, Norman Creek Bridge, Norman Park  _Pedestrian","A017, Norman Creek Bridge, Norman Park  _Cyclist","A012, North Brisbane Bikeway (Mann Park), Windsor  _Pedestrian","A012, North Brisbane Bikeway (Mann Park), Windsor  _Cyclist","A013, Riverwalk, Newfarm  _Pedestrian","A013, Riverwalk, Newfarm  _Cyclist","A014, Schulz Canal Bridge, Nundah  _Pedestrian","A014, Schulz Canal Bridge, Nundah  _Cyclist","A022, Stanley Street, South Brisbane  _Cyclist","A016, Story Bridge East, Kangaroo Point  _Pedestrian","A016, Story Bridge East, Kangaroo Point  _Cyclist","A016, Story Bridge West, Kangaroo Point _Pedestrian","A016, Story Bridge West, Kangaroo Point _Cyclist","A024, Land Bridge ICB, Spring Hill  _Pedestrian","A024, Land Bridge ICB, Spring Hill  _Cyclist","A025, Maritime Museum, South Brisbane  _Pedestrian","A025, Maritime Museum, South Brisbane  _Cyclist","A026, Annerley Rd, South Brisbane  _Cyclist","A027, Kurilpa Bridge Tank Street, Brisbane City  _Cyclist","A028, Indooroopilly Riverwalk, Indooroopilly _Pedestrian","A028, Indooroopilly Riverwalk, Indooroopilly _Cyclist","A029, Lytton Road, East Brisbane _Cyclist","A200,_Cyclist City Link Cycleway (Edward St - Charlotte to Mary), City","A200,_Scooter City Link Cycleway (Edward St - Charlotte to Mary), City","A201,_Cyclist City Link Cycleway (Elizabeth St - Creek to Edward), City","A202,_Cyclist City Link Cycleway (Elizabeth St - Edward to Albert), City","A202,_Scooter City Link Cycleway (Elizabeth St - Edward to Albert), City","A203,_Cyclist City Link Cycleway (Victoria Bridge), City","A203,_Scooter City Link Cycleway (Victoria Bridge), City"
"Wednesday, 10 February 2021",1969,4236,1639,4690,580,187,2368,2596,907,212,,1353,,,433,568,131,34,791,937,2259,1321,960,1032,310,240,918,1607,822,1018,1203,541,21,520,771,1686,703,132,114,1174,409,1042,677,598,1227,1365,4137,4486,861,1140,,,739,,,305,,,,
"Thursday, 11 February 2021",1973,3955,1597,4295,527,172,2361,2476,978,199,,1463,,,319,516,122,27,763,800,2252,1266,982,1016,326,215,769,1505,905,896,1144,583,27,444,701,1688,777,73,6,1188,378,996,656,663,932,1220,4344,4153,826,957,,,702,,,354,,,,
"Friday, 12 February 2021",1552,3635,1369,3982,505,161,2441,2153,698,198,,1108,,,309,480,88,31,705,981,2176,1157,757,951,280,244,828,1347,815,804,1034,396,34,374,611,1488,707,129,130,1040,362,941,640,541,705,1028,4589,3840,740,1039,,,628,,,286,,,,
"Saturday, 13 February 2021",1458,2881,1185,2989,859,132,2564,1833,607,226,,676,,,209,200,103,10,612,899,2552,1090,1239,1108,277,246,813,1569,1025,670,912,308,21,253,446,1773,856,46,111,683,321,654,688,430,484,595,5590,2617,545,656,,,238,,,216,,,,
"Sunday, 14 February 2021",1501,1721,1247,1798,428,136,2971,1558,669,172,,753,,,192,127,97,15,337,339,2509,865,779,913,241,151,359,1632,812,761,572,303,11,223,307,1518,721,75,92,453,352,481,719,303,400,304,5449,1775,324,373,,,229,,,190,,,,
"Monday, 15 February 2021",2151,3679,1585,3880,564,191,2473,2335,906,190,,1379,,,439,577,149,49,722,707,2274,1241,1032,1018,315,231,753,1843,754,1004,1118,612,31,480,778,1809,668,101,86,1077,559,1206,555,287,1091,1254,4179,4064,819,973,,,718,,,263,,,,
"Tuesday, 16 February 2021",1637,4039,1418,4168,457,177,2073,2252,848,165,,1437,,,310,567,125,28,742,833,1859,1119,860,879,316,223,869,1347,732,921,1117,544,34,424,770,1174,577,32,19,1121,427,1013,489,440,944,1291,3674,4018,824,996,,,697,,,277,,,,
"Wednesday, 17 February 2021",1712,3517,1619,3734,542,148,2313,2224,918,157,,1650,,,347,455,125,29,715,785,2195,1126,871,885,336,192,815,1521,759,992,1109,520,32,415,647,1307,567,174,99,1092,236,478,894,980,903,1099,4072,3889,797,938,,,657,,,261,,,,
"Thursday, 18 February 2021",1411,2502,1577,2647,342,94,1860,1472,723,78,,1270,,,278,352,110,14,538,407,1530,687,701,525,261,119,522,1223,465,728,654,481,15,253,445,739,315,56,78,767,292,544,584,464,608,801,3226,2577,568,674,,,438,,,213,,,,
"Friday, 19 February 2021",1134,2201,1437,2300,324,103,1960,1291,673,115,,1315,,,240,314,106,14,476,454,1457,693,612,583,246,129,454,1057,470,694,674,393,15,251,434,720,307,105,139,747,386,579,626,368,465,692,3537,2615,520,675,,,418,,,284,,,,
"Saturday, 20 February 2021",1583,2819,1599,2835,938,167,2959,1801,736,210,,931,,,264,203,122,13,564,747,2639,1096,1523,1077,336,211,708,1544,901,855,928,416,11,243,367,1818,830,283,240,655,492,607,713,386,401,452,5591,2553,528,580,,,325,,,238,,,,
"Sunday, 21 February 2021",1705,2994,1309,3087,401,186,2426,2052,621,265,,581,,,246,238,125,18,500,820,2688,1365,819,1306,251,293,794,1889,1144,745,1062,321,18,228,474,2240,1014,249,219,718,389,645,707,386,464,614,5176,2816,552,658,,,341,,,216,,,,
"Monday, 22 February 2021",1808,3425,1277,3695,451,164,1850,2294,698,175,,1317,,,287,543,122,37,555,577,1640,948,821,859,251,216,667,1302,723,870,1025,509,44,409,737,1492,652,338,128,1086,297,876,425,536,918,1176,4153,3958,774,915,,,658,,,265,,,,
"Tuesday, 23 February 2021",1403,3678,1151,3929,419,163,1752,2098,571,166,,1373,,,343,547,115,31,616,789,1678,1180,722,914,230,192,750,1106,765,836,1034,525,35,407,661,1016,604,114,56,1067,280,873,361,503,785,1223,3808,3977,764,951,,,687,,,215,,,,
"Wednesday, 24 February 2021",1680,3561,1364,3717,552,165,,,757,191,,1792,,,349,486,138,32,693,693,2086,1048,874,838,264,180,689,1466,723,1094,1030,521,28,401,640,1462,595,71,123,1022,264,847,475,546,857,1063,4445,3649,756,922,,,644,,,315,,,,
"Thursday, 25 February 2021",1740,2803,1197,2997,435,110,,,765,142,,1626,,,290,418,99,19,506,531,1756,935,816,624,227,138,555,1247,550,890,786,490,21,353,506,957,478,1,0,918,277,799,488,481,601,900,3866,3142,669,815,,,590,,,269,,,,
"Friday, 26 February 2021",1332,3812,1234,3925,397,134,,,593,166,,1252,,,270,442,125,24,723,974,2066,1168,695,964,267,195,926,1264,810,876,1107,432,29,361,613,1274,682,43,10,1010,350,844,465,496,722,1039,4898,3815,767,899,,,626,,,307,,,,
"Saturday, 27 February 2021",1475,2840,1020,2851,917,118,,,590,230,,723,,,232,174,108,14,492,770,2278,1072,1061,980,284,182,854,1614,988,790,899,329,16,229,374,1748,774,12,3,680,331,587,528,375,359,475,5255,2508,509,583,,,326,,,237,,,,
"Sunday, 28 February 2021",1674,2782,1148,2790,459,153,,,627,214,,776,,,185,175,114,22,396,670,2707,1067,810,1075,322,263,706,1720,995,,,283,18,359,470,1630,894,141,35,617,366,574,636,392,381,545,5342,2390,405,551,,,305,,,206,,,,
"Monday, 1 March 2021",1716,3327,1212,3598,524,198,,,855,183,,1650,,,339,526,132,25,501,579,2069,1134,872,892,296,191,704,1540,735,952,1061,548,27,401,723,1098,587,4,1,1057,332,955,476,495,819,1193,4546,3813,789,947,,,695,,,281,,,,
"Tuesday, 2 March 2021",1322,3875,1252,4024,367,161,,,620,163,,1287,,,290,554,101,25,534,755,1684,1107,647,876,198,217,755,1101,786,842,1108,478,31,378,752,1106,650,141,129,1138,346,851,379,530,786,1280,4427,4131,799,1026,,,701,,,281,,,,
"Wednesday, 3 March 2021",1557,3359,1412,3582,556,139,,,850,153,,1916,,,388,434,114,28,580,647,2044,922,780,717,229,154,701,1261,607,,,451,8,383,616,758,519,75,72,1042,277,751,625,449,759,1012,5256,3560,742,907,,,541,,,269,,,,
"Thursday, 4 March 2021",1806,3058,1738,3317,560,158,,,885,164,,2105,,,323,461,136,25,588,456,1912,981,911,755,290,157,505,1407,635,,,562,42,387,624,1555,513,128,104,979,363,823,687,516,631,994,5173,3337,703,876,,,601,,,320,,,,
"Friday, 5 March 2021",1460,3711,1679,3865,433,152,,,695,174,,1531,,,308,469,100,23,857,841,2250,1184,742,937,272,231,872,1320,795,,,414,17,376,701,1663,712,743,242,1102,418,933,511,575,809,1030,5394,3949,837,915,,,634,,,292,,,,
"Saturday, 6 March 2021",1552,2819,1369,2798,986,149,,,749,224,,906,,,265,231,93,29,600,791,2939,1202,1245,1046,296,180,726,1632,991,,,327,26,244,351,1894,807,246,41,658,404,643,810,381,417,494,6052,2842,472,628,,,312,,,226,,,,
"Sunday, 7 March 2021",1913,2970,1641,2982,498,163,,,882,352,,890,,,265,204,107,18,515,692,2363,1163,950,1165,297,220,691,1888,1149,966,959,374,29,267,476,2114,1140,250,202,656,364,608,704,378,524,569,5713,2466,509,627,,,343,,,215,,,,
"Monday, 8 March 2021",1301,3156,1342,3374,433,180,,,643,202,,1437,,,321,486,106,31,482,525,1705,985,836,860,246,206,584,1122,595,837,894,455,45,431,692,1222,563,335,50,1019,299,765,419,480,852,1105,5336,3654,790,895,,,639,,,279,,,,
"Tuesday, 9 March 2021",1555,2504,1421,2712,348,95,,,669,139,,1822,,,295,337,83,14,311,251,1747,762,634,568,177,116,329,1309,528,893,748,427,24,335,437,1161,411,75,12,892,284,588,403,412,653,725,5421,2794,654,647,,,416,,,235,,,,
"Wednesday, 10 March 2021",1579,4102,1343,4220,563,196,,,745,197,,1819,,,328,545,90,39,647,823,2024,1241,941,1008,283,219,868,1400,853,1089,1276,457,33,449,709,1425,672,109,87,1185,345,941,474,545,857,1262,5820,4467,882,1063,,,716,,,286,,,,
"Thursday, 11 March 2021",1480,3141,1418,3408,437,145,,,748,151,,2003,,,289,501,99,25,531,559,1763,991,827,688,294,171,617,1190,633,955,934,496,7,325,602,1129,597,169,40,1030,332,754,619,484,814,1051,5458,3510,725,818,,,626,,,296,,,,
"Friday, 12 March 2021",1290,3290,1457,3412,498,154,,,685,160,,1586,,,266,445,116,21,715,718,2178,1043,719,879,228,193,747,1196,732,930,929,411,16,343,624,1535,622,175,138,1019,374,806,557,513,768,935,5574,3662,727,850,,,601,,,318,,,,
"Saturday, 13 March 2021",1357,2383,1481,2315,945,117,,,678,217,,899,,,215,158,131,12,458,587,2673,969,1049,985,322,228,440,1627,783,890,733,313,15,291,319,2038,747,326,73,673,342,534,606,365,539,421,6048,2398,512,558,,,277,,,220,,,,
"Sunday, 14 March 2021",1768,3025,1441,3065,406,178,,,677,311,,798,,,232,209,110,26,503,725,2734,1182,840,1013,280,221,668,1678,1159,806,935,281,24,286,472,2203,1065,709,151,626,371,648,728,356,414,601,5129,3076,493,590,,,317,,,201,,,,
"Monday, 15 March 2021",685,1982,1017,2275,314,105,,,490,70,,1404,,,232,358,79,17,282,320,1177,584,619,528,211,108,350,785,374,572,541,360,17,257,539,718,348,151,5,726,240,599,470,335,491,790,4045,2609,521,569,,,446,,,194,,,,
"Tuesday, 16 March 2021",906,1894,1302,2179,313,89,,,589,93,,1632,,,263,320,90,25,270,224,1203,553,458,418,169,96,307,737,375,611,602,313,13,257,409,774,322,142,9,705,275,523,461,366,622,693,4402,2199,490,567,,,379,,,226,,,,
"Wednesday, 17 March 2021",722,1380,1059,1586,227,53,,,389,53,,1671,,,199,223,62,5,273,166,835,330,248,195,151,71,225,475,214,487,341,309,7,181,291,643,151,1,0,442,217,356,361,242,305,522,3976,2021,328,393,,,281,,,140,,,,
"Thursday, 18 March 2021",1509,2573,1987,2728,454,86,,,841,112,,2072,,,333,293,100,17,442,369,1935,778,799,569,238,99,466,1275,522,968,816,521,23,352,469,1081,423,379,20,881,436,649,630,423,805,712,5394,3012,605,677,,,457,,,325,,,,
"Friday, 19 March 2021",1423,3319,1775,3421,441,110,,,690,169,,1513,,,340,371,80,14,712,804,1950,973,708,876,261,183,800,1474,589,928,1007,443,22,328,555,1565,613,142,119,1040,461,792,523,446,693,831,4684,1917,764,825,,,513,,,292,,,,
"Saturday, 20 March 2021",1021,1412,1228,1370,485,66,,,657,112,,779,,,222,102,97,15,300,354,1654,534,728,562,220,107,306,1351,441,592,396,294,10,179,193,1051,368,175,12,363,430,343,624,258,290,255,4515,1032,269,292,,,171,,,169,,,,
"Sunday, 21 March 2021",775,1293,1081,1223,203,50,,,465,128,,643,,,104,89,69,11,251,398,1496,478,854,380,206,112,366,687,367,564,480,182,5,91,135,871,287,124,4,310,350,260,581,202,178,177,3622,1364,272,220,,,140,,,84,,,,
"Monday, 22 March 2021",577,874,819,1016,181,29,,,272,23,,1254,,,185,149,45,3,147,99,704,215,730,38,96,31,,401,121,412,241,316,10,115,133,554,113,16,8,344,169,267,253,179,198,299,3636,1571,252,276,,,179,,,101,,,,
"Tuesday, 23 March 2021",764,898,1049,1017,235,25,,,427,35,,1326,,,203,145,47,3,191,78,932,214,28,39,120,36,,708,162,502,216,236,7,143,117,673,84,48,0,330,242,260,352,178,234,256,2941,726,247,247,,,132,,,119,,,,
"Wednesday, 24 March 2021",1854,3354,1682,3560,493,110,,,897,170,,1963,,,398,400,135,15,464,624,2172,943,692,590,247,149,,1485,635,1087,984,509,48,387,618,1440,511,448,61,1012,545,767,487,528,682,971,5957,3607,775,856,,,563,,,305,,,,
"Thursday, 25 March 2021",1914,4039,1651,4202,545,137,,,791,183,,1785,,,356,507,284,36,754,711,2064,1170,813,851,243,172,,1345,792,992,1139,582,61,398,683,1677,672,488,114,1235,540,992,490,529,955,1212,5948,3935,932,965,,,707,,,314,,,,
"Friday, 26 March 2021",1471,3632,1473,3790,434,101,,,682,174,,1550,,,312,429,151,21,787,932,2149,1229,770,857,214,177,,1456,786,1020,991,456,39,326,613,1616,670,323,132,1129,379,885,533,545,751,981,6068,4125,830,937,,,616,,,367,,,,
"Saturday, 27 March 2021",1529,3002,1315,3009,1026,131,,,778,234,,888,,,320,201,130,14,490,759,2625,1039,1273,1108,291,186,,1501,1046,1020,899,350,21,257,440,2254,950,232,50,681,487,619,739,423,476,524,5652,3258,509,586,,,277,,,232,,,,
"Sunday, 28 March 2021",1993,3196,1505,3136,462,166,,,967,320,,905,,,253,192,157,39,549,827,2856,1295,883,1226,295,283,,1852,1126,935,990,365,23,339,494,2564,1093,212,222,721,425,623,744,480,385,574,1108,479,525,626,,,363,,,179,,,,
"Monday, 29 March 2021",1657,3095,1431,3368,513,175,,,905,172,,1188,,,311,502,115,28,528,502,1661,987,844,855,297,154,,1392,652,844,833,499,25,411,725,1339,508,200,119,927,309,764,410,432,706,1171,,,690,907,,,623,,,263,,,,
"Tuesday, 30 March 2021",2488,2492,1841,2403,874,184,,,1618,274,,804,,,395,209,208,27,659,596,2305,867,1700,1222,544,243,,2531,751,1297,749,539,15,420,399,1503,653,357,138,623,271,544,670,303,565,475,,,448,467,,,305,,,207,,,,
"Wednesday, 31 March 2021",2724,2756,2090,2754,913,218,,,1592,369,,888,,,455,217,217,36,831,682,2654,971,1602,1459,553,297,,2571,1011,1232,908,584,31,448,437,1960,755,79,87,706,340,678,777,419,618,529,,,486,532,,,326,,,215,,,,
"Thursday, 1 April 2021",1614,2184,1498,2135,636,136,,,995,201,,687,,,254,225,111,18,603,587,1789,707,1085,886,341,216,,1565,614,801,699,362,16,291,316,1225,510,123,209,601,256,489,546,334,402,502,,,440,536,,,255,,,177,,,,
"Friday, 2 April 2021",2122,3295,2112,3271,660,195,,,1108,332,,978,,,336,211,169,21,833,828,3554,1476,1131,1472,431,351,,2353,1446,1165,946,426,22,302,581,2545,1279,138,315,763,523,797,901,473,557,607,,,476,579,,,401,,,262,,,,
"Saturday, 3 April 2021",1134,2019,1146,1978,640,107,,,682,153,,672,,,192,154,84,14,537,523,1839,731,966,717,282,175,,1031,630,666,592,225,7,210,262,1300,525,87,199,432,274,415,744,249,314,355,,,348,422,,,234,,,158,,,,
"Sunday, 4 April 2021",667,406,913,414,204,27,,,394,43,,440,,,117,37,65,0,162,111,1072,150,294,133,124,48,,657,149,346,115,130,2,87,73,818,84,51,81,127,199,131,401,86,124,77,,,89,98,,,38,,,58,,,,
"Monday, 5 April 2021",1184,684,1433,645,417,45,,,868,71,,719,,,200,66,72,6,290,159,1652,332,623,263,259,73,,1046,228,709,221,308,4,128,74,1100,226,42,51,182,246,215,505,116,288,79,,,124,117,,,80,,,98,,,,
"Tuesday, 6 April 2021",673,599,961,687,258,23,,,404,55,,854,,,161,109,60,5,128,57,812,185,176,127,99,23,,663,145,382,163,149,8,163,140,427,100,44,37,232,186,212,274,155,174,218,,,160,207,,,139,,,110,,,,
"Wednesday, 7 April 2021",1673,1836,1882,1948,463,92,,,1024,173,,1292,,,256,268,126,24,378,264,1960,642,681,503,257,113,,1403,479,907,501,386,25,287,359,961,368,92,155,572,430,556,661,336,438,512,,,430,465,,,337,,,241,,,,
"Thursday, 8 April 2021",2069,3738,2239,3940,567,173,,,975,221,,1173,,,366,467,128,38,799,761,2253,1267,1060,955,375,199,,1474,840,1068,1017,400,30,416,729,1744,801,182,198,1105,469,920,665,580,680,1073,,,772,884,,,628,,,332,,,,
"Friday, 9 April 2021",1470,3443,1744,3423,463,126,,,826,226,,1106,,,322,365,200,27,756,717,2207,1196,810,842,216,197,,1423,887,938,900,370,26,374,600,1829,730,229,157,1015,450,842,538,453,581,825,,,720,784,,,493,,,314,,,,
"Saturday, 10 April 2021",1555,2874,1478,2947,952,120,,,862,222,,851,,,231,213,124,23,529,781,2755,1171,1367,1116,251,193,,1707,1199,919,838,256,16,244,376,2508,903,415,226,737,557,723,648,430,437,485,,,535,598,,,348,,,224,,,,
"Sunday, 11 April 2021",2099,3186,1550,3149,584,156,,,935,280,,2277,,,277,184,132,39,613,808,3243,1378,1158,1338,356,289,,1906,1300,1348,908,354,14,312,430,2663,1041,394,145,667,501,775,1014,450,472,592,,,484,746,,,376,,,261,,,,
"Monday, 12 April 2021",2121,3141,1964,3320,662,190,,,1093,222,,1630,,,363,467,145,37,492,472,2458,1090,994,869,357,212,,1572,764,1154,905,409,26,439,734,1982,652,521,142,1033,440,816,830,527,631,1089,,,665,579,,,613,,,330,,,,
"Tuesday, 13 April 2021",2170,3883,2126,4063,580,186,,,1054,214,,1860,,,428,546,120,34,659,657,2538,1217,1045,875,337,206,,1949,866,1206,1097,443,33,451,723,1886,733,812,221,1104,488,902,824,584,876,1258,,,736,581,,,669,,,352,,,,
"Wednesday, 14 April 2021",2080,3775,2216,4016,603,181,,,1032,186,,1825,479,,366,515,136,33,734,659,2409,1142,1036,909,331,198,,1666,866,1207,1122,437,31,471,755,1786,686,663,134,1061,475,959,769,517,793,1272,,,766,583,,,658,,,346,,,,
"Thursday, 15 April 2021",1988,3611,2183,3810,508,144,,,871,201,,1650,1030,,381,477,93,23,605,656,2419,1219,891,796,303,231,,1572,772,1077,1063,400,27,450,679,1858,686,286,93,1070,523,865,670,534,691,1099,,,805,503,,,629,,,354,,,,
"Friday, 16 April 2021",1565,3402,1656,3594,422,153,,,724,222,,1465,1170,,382,414,125,33,692,764,2210,1093,856,840,253,199,,1374,745,948,968,339,41,401,602,1736,754,199,13,1043,583,846,745,523,596,894,1776,717,766,503,,,491,,,387,,,,
"Saturday, 17 April 2021",1515,2508,1493,2580,844,93,,,949,176,,1006,990,,381,189,105,18,646,680,2406,858,1375,979,288,224,,1434,799,916,785,276,14,263,376,1878,736,535,183,585,644,539,1040,353,338,479,5768,2798,454,280,,,245,,,195,,,,
"Sunday, 18 April 2021",2406,3287,2432,3375,550,160,,,1027,335,,1504,1190,,279,215,117,27,657,771,3597,1363,1155,1314,373,243,,2206,1337,1359,1028,375,19,285,470,3447,1137,539,108,735,807,684,1318,447,454,568,6103,3550,541,,,,341,,,268,,,,
"Monday, 19 April 2021",2228,3361,2254,3678,561,144,,,1036,185,,1656,993,,367,479,163,33,574,508,2364,1127,1075,808,281,176,,1604,702,1093,922,515,38,438,749,1884,580,222,48,1002,602,818,815,493,714,1164,1736,1669,762,447,,,606,,,338,,,,
"Tuesday, 20 April 2021",2133,4093,2260,4421,477,156,,,1075,158,,1850,1250,,426,581,149,23,721,646,2379,1177,1092,955,250,206,,1766,831,1205,1186,579,46,508,779,1930,697,186,197,1162,616,931,762,570,838,1319,,,852,577,,,780,,,346,,,473,
"Wednesday, 21 April 2021",1995,3886,1940,4133,541,136,,,934,201,,1786,1200,85,408,523,138,34,704,699,2297,1126,957,874,240,192,,1525,819,1104,1143,532,33,455,709,1740,682,152,148,1182,547,948,658,569,1011,1189,,,891,492,,,711,,,331,,,653,
"Thursday, 22 April 2021",1831,3626,1961,3869,455,134,,,966,167,,1999,1111,134,360,471,121,28,800,633,1986,1091,872,730,244,160,,1387,715,990,1041,513,26,432,635,1775,675,217,159,1107,448,910,834,532,964,1148,,,820,472,,,672,,,387,,,676,
"Friday, 23 April 2021",1682,3291,2017,3677,477,116,,,717,157,,1498,1103,150,331,411,100,22,746,757,2036,1046,740,810,223,190,,1391,686,962,920,516,21,415,555,1703,627,144,116,1083,507,803,890,488,732,954,,,789,459,,,527,,,379,,,750,
"Saturday, 24 April 2021",1766,2900,2042,2976,860,102,,,1091,254,,1064,1174,116,354,189,86,8,616,777,2750,1081,1527,951,296,218,,1613,1003,963,865,442,22,225,368,2609,845,345,162,652,568,611,975,364,367,502,,,463,307,,,326,,,261,,,800,
"Sunday, 25 April 2021",2347,2776,2497,2923,553,185,,,919,330,,1158,958,103,255,191,109,13,611,639,3339,1191,1027,1192,304,221,,2503,1283,982,880,690,16,303,370,3297,1040,338,204,660,737,706,1129,371,,,,,490,311,,,271,,,219,,,603,
"Monday, 26 April 2021",2414,3437,2410,3447,658,188,,,1141,379,,1178,1193,129,320,172,152,17,730,790,3621,1519,1140,1638,431,332,,2374,1454,1159,1036,442,21,394,536,2964,1280,385,291,713,527,807,1072,426,,,,,483,354,,,345,,,259,,,635,
"Tuesday, 27 April 2021",1995,3595,2286,3979,506,174,,,963,188,,1698,1145,93,367,492,113,22,570,593,2071,1050,982,783,220,209,,1674,704,1072,941,579,25,480,696,1604,593,204,65,1025,479,850,725,568,,,,,752,488,,,611,,,331,,,618,
"Wednesday, 28 April 2021",1684,3804,2219,4068,470,149,,,862,154,,1727,1196,182,364,483,118,33,656,716,2013,1052,1103,896,265,213,,1412,727,1025,1057,562,44,477,693,1415,583,265,234,1079,455,870,707,527,,,,,791,491,,,647,,,363,,,663,
"Thursday, 29 April 2021",1931,3492,2237,3868,473,148,,,899,165,,1843,1129,114,344,456,100,23,744,677,2124,975,998,773,240,172,,1413,735,1035,999,483,24,441,636,1366,558,159,146,1117,456,878,820,550,,,,,883,,,,632,,,325,,,666,
"Friday, 30 April 2021",1162,2692,1621,3065,348,87,,,528,102,,1252,1015,268,268,348,95,17,590,691,1605,773,612,595,171,127,,901,463,802,710,340,18,283,437,1187,408,155,156,828,411,652,623,400,,,,,630,,,,429,,,296,,,618,
"Saturday, 1 May 2021",1412,1282,1691,1354,704,75,,,800,105,,792,603,58,240,71,75,7,414,374,1910,434,962,377,187,93,,1064,331,801,423,290,7,166,160,1489,279,54,142,332,420,301,776,198,,,,,230,,,,136,,,187,,,470,
"Sunday, 2 May 2021",1920,1894,2270,1887,566,133,,,843,206,,1068,769,102,275,169,108,20,461,461,2566,787,971,751,276,161,,1711,708,920,629,379,7,209,246,1873,579,175,192,404,575,423,1004,303,,,,,304,,,,193,,,181,,,501,
"Monday, 3 May 2021",2735,3621,2952,3720,790,201,,,1417,504,1256.541455,1465,1330,107,312,238,166,35,670,843,4200,1483,1319,1704,453,321,,2789,1672,1331,1117,526,23,373,625,3052,1446,377,278,677,694,758,1247,457,,,,,521,,,,370,,,276,,,703,
"Tuesday, 4 May 2021",1950,3421,2298,3858,440,157,,,1018,204,1730.096056,1651,1121,90,428,519,103,16,578,510,1960,1068,911,932,274,172,,1674,768,950,932,430,36,502,687,1594,579,446,135,1039,539,794,723,503,,,,,953,,,,654,,,398,,,676,
"Wednesday, 5 May 2021",1409,2466,1719,2774,362,63,,,736,93,1045.063647,1483,767,51,262,398,79,18,481,440,1533,682,653,540,120,107,,1099,461,835,578,427,12,332,532,987,308,564,86,785,350,617,725,353,,,,,529,,,,509,,,264,,,428,
"Thursday, 6 May 2021",1918,3417,2412,3812,492,124,,,917,188,1610.734349,1866,1154,102,383,479,96,21,629,592,2123,1054,994,798,151,165,,1307,726,965,959,504,32,410,640,1587,578,316,151,1041,546,828,845,498,,,,,776,,,,641,,,369,,,700,
"Friday, 7 May 2021",1502,3354,2631,3621,384,101,,,757,171,1623.059742,1492,1236,115,351,398,106,18,825,762,2018,996,713,837,273,170,,1366,693,928,925,439,31,400,547,1462,587,479,104,1023,525,787,734,479,,,,,754,,,,554,,,338,,,796,
"Saturday, 8 May 2021",1726,2750,2083,2839,946,138,,,1001,246,1003.546531,1051,1266,554,437,201,141,12,713,710,2822,1019,1399,990,310,213,,1692,899,1045,846,373,13,301,388,2512,812,862,157,690,607,567,989,347,,,,,528,,,,294,,,211,,,805,
"Sunday, 9 May 2021",2119,2388,2836,2468,472,141,,,1016,236,840.7215931,1137,999,70,275,151,96,23,509,501,2952,929,1065,947,282,189,,2237,988,1029,714,350,8,229,322,2886,861,449,155,595,584,517,1056,383,,,,,432,,,,290,,,203,,,607,
"Monday, 10 May 2021",2128,3334,2217,3629,532,180,,,886,185,1651.602759,1605,1102,160,387,486,121,33,573,535,2302,1089,1426,861,242,158,,1563,755,1098,949,508,38,441,695,1632,634,776,93,1058,527,768,750,512,,,1421,876,772,,,,641,,,329,,,673,
"Tuesday, 11 May 2021",2093,3542,2205,3908,608,174,,,1013,190,1844.268124,1761,1212,130,408,566,123,29,587,573,2401,1142,1120,921,261,166,,1836,846,1057,1002,551,48,494,701,1645,590,104,101,1030,590,860,704,552,,337,6101,3418,780,,,,710,,,373,,,375,342
"Wednesday, 12 May 2021",1277,2228,1439,2508,313,99,,,557,103,1186.481322,1466,860,101,234,368,78,12,335,344,1406,638,526,481,200,81,,988,420,761,625,341,24,271,433,826,365,163,24,766,434,614,560,369,,,5274,3111,587,,,,432,,,270,,,214,330
