REGIONID,DATE,DEMAND,GENERATION,RRP
NSW1,2023-01-01,6426.492048611111,5837.087638888889,70.796875
NSW1,2023-01-02,6534.954340277778,5641.217881944444,86.3260763888889
NSW1,2023-01-03,7289.063888888889,6270.113333333333,74.4465625
NSW1,2023-01-04,7322.717152777778,6322.673715277778,83.35697916666668
NSW1,2023-01-05,6831.582638888889,5900.889027777778,85.53253472222222
NSW1,2023-01-06,6796.741840277778,5994.9815625,67.92288194444444
NSW1,2023-01-07,6389.279618055556,5874.439340277778,44.218715277777775
NSW1,2023-01-08,5982.560555555556,5753.005868055556,50.86347222222222
NSW1,2023-01-09,6866.829097222222,6689.384479166667,99.1071875
NSW1,2023-01-10,7074.810590277778,7161.792604166667,82.65083333333332
NSW1,2023-01-11,7331.712534722222,7439.281562499999,105.18774305555556
NSW1,2023-01-12,7518.4333333333325,7701.434513888889,112.07899305555556
NSW1,2023-01-13,7549.0409375,7556.88111111111,130.50784722222224
NSW1,2023-01-14,7028.025138888889,6849.645451388888,102.30128472222222
NSW1,2023-01-15,7102.875,6430.752291666667,74.63885416666668
NSW1,2023-01-16,7841.642430555556,7584.9021875,105.0157638888889
NSW1,2023-01-17,7894.048333333333,7361.499930555556,98.27951388888889
NSW1,2023-01-18,8253.054930555554,7591.732743055555,100.72725694444445
NSW1,2023-01-19,7565.484375,6742.325208333333,86.46940972222222
NSW1,2023-01-20,7141.913263888889,6641.523229166666,63.79385416666667
NSW1,2023-01-21,6398.445972222222,5898.908333333334,59.12072916666667
NSW1,2023-01-22,6725.249027777778,5865.063541666666,83.89677083333333
NSW1,2023-01-23,7166.188993055555,6853.119027777778,105.6121875
NSW1,2023-01-24,7601.964791666666,7180.426875,112.73520833333333
NSW1,2023-01-25,7853.783229166666,7558.066493055555,114.70465277777778
NSW1,2023-01-26,7747.059895833333,7216.341041666667,100.87079861111111
NSW1,2023-01-27,8038.8271875,7884.293923611111,105.81420138888889
NSW1,2023-01-28,8163.512500000001,7564.877013888889,114.22295138888889
NSW1,2023-01-29,8326.452569444444,7670.890555555556,155.4034722222222
NSW1,2023-01-30,8299.98329861111,7679.235104166666,119.08319444444444
NSW1,2023-01-31,7839.622326388889,7537.770208333332,130.53649305555555
NSW1,2023-02-01,7690.660277777778,7363.553055555555,124.8242013888889
NSW1,2023-02-02,8382.41673611111,7859.697083333333,153.1917361111111
NSW1,2023-02-03,7713.034402515723,7319.563616352201,88.59830188679244
NSW1,2023-02-04,6383.204375,6225.240381944444,68.85961805555556
NSW1,2023-02-05,6444.329270833334,6199.6421875,81.211875
NSW1,2023-02-06,7976.988506944444,7372.112361111111,115.68930555555555
NSW1,2023-02-07,8164.552013888889,7732.183159722223,99.19239583333334
NSW1,2023-02-08,7906.882326388888,7497.6675000000005,87.71690972222223
NSW1,2023-02-09,7873.657013888889,7658.53736111111,104.28229166666667
NSW1,2023-02-10,7745.939131944445,7441.515069444444,91.81371527777777
NSW1,2023-02-11,7779.979652777778,7518.502118055555,48.71149305555556
NSW1,2023-02-12,7133.848472222223,6834.767222222222,77.25045138888889
NSW1,2023-02-13,7499.039618055556,7196.525173611111,97.19
NSW1,2023-02-14,7458.4859027777775,7452.219583333334,83.72940972222221
NSW1,2023-02-15,7346.360104166666,7027.694166666666,84.36774305555555
NSW1,2023-02-16,7766.968715277779,7339.861805555556,104.85315972222222
NSW1,2023-02-17,8254.256284722222,7601.707083333334,104.90204861111111
NSW1,2023-02-18,7945.561493055556,7449.3296527777775,104.91590277777777
NSW1,2023-02-19,7437.240277777779,6979.455104166667,95.31322916666666
NSW1,2023-02-20,8671.957847222222,8364.55576388889,118.00993055555556
NSW1,2023-02-21,8377.135416666666,7616.63111111111,91.32833333333333
NSW1,2023-02-22,7642.9885416666675,7160.743125,70.32423611111112
NSW1,2023-02-23,7366.496909722222,6818.401909722223,68.7196875
NSW1,2023-02-24,7287.556180555556,6561.323402777777,58.962395833333325
NSW1,2023-02-25,6785.570277777778,6138.493888888889,59.85131944444444
NSW1,2023-02-26,7165.584826388888,6626.392638888889,49.57597222222222
NSW1,2023-02-27,7951.7411111111105,7337.610243055556,98.88145833333334
NSW1,2023-02-28,8016.1015625,7609.300208333333,95.89204861111111
NSW1,2023-03-01,7856.098263888888,7394.012881944444,80.8879513888889
NSW1,2023-03-02,7839.172361111112,7399.687465277779,93.86493055555555
NSW1,2023-03-03,7677.295729166666,7092.731493055555,84.58663194444445
NSW1,2023-03-04,7130.063263888889,6501.185798611111,96.29149305555556
NSW1,2023-03-05,7051.987361111112,6227.054409722222,116.58159722222223
NSW1,2023-03-06,8937.42357638889,7821.9104166666675,101.08229166666666
NSW1,2023-03-07,8589.984513888889,7617.489097222222,86.11875
NSW1,2023-03-08,7600.966076388889,6981.740381944444,82.00305555555556
NSW1,2023-03-09,7240.120347222222,6864.177395833333,98.69590277777777
NSW1,2023-03-10,7412.448333333334,6927.652152777778,96.79451388888889
NSW1,2023-03-11,7368.5599999999995,6940.630694444444,88.19350694444444
NSW1,2023-03-12,7171.749131944444,6877.624618055555,87.40423611111112
NSW1,2023-03-13,7508.309930555555,7379.551944444444,77.93086805555555
NSW1,2023-03-14,7632.8575,7513.690833333333,109.23756944444445
NSW1,2023-03-15,7737.773125000001,7587.531180555556,105.31840277777778
NSW1,2023-03-16,8461.4834375,8093.644340277777,476.40166666666664
NSW1,2023-03-17,8175.555416666666,8083.060520833334,241.56791666666666
NSW1,2023-03-18,7838.648159722222,7056.443576388889,82.3367013888889
